[00:03:27] ,****,131.77,2팀,Bernar,마우가,1팀,CheckMate,리퍼,0,3.65,0,0
[00:03:27] ,defensive_assist,132.06,2팀,shu,키리코,0
[00:03:27] ,offensive_assist,132.12,2팀,Viol2t,루시우,0
[00:03:27] ,defensive_assist,132.12,2팀,Viol2t,루시우,0
[00:03:27] ,defensive_assist,132.20,2팀,Bernar,마우가,0
[00:03:28] ,ultimate_end,132.22,2팀,Bernar,마우가,0,1
[00:03:28] ,ultimate_end,132.94,2팀,knife,시온,0,1
[00:03:28] ,ability_1_used,133.05,1팀,HanBin,마우가,0
[00:03:28] ,ability_1_used,133.07,2팀,Bernar,마우가,0
[00:03:29] ,ultimate_end,133.69,2팀,Proper,벤데타,0,1
[00:03:29] ,****,133.82,2팀,knife,시온,1팀,HanBin,마우가,Secondary Fire,4.39,0,0
[00:03:29] ,defensive_assist,133.95,2팀,shu,키리코,0
[00:03:29] ,offensive_assist,134.01,2팀,Viol2t,루시우,0
[00:03:29] ,defensive_assist,134.01,2팀,Viol2t,루시우,0
[00:03:29] ,offensive_assist,134.09,2팀,Bernar,마우가,0
[00:03:29] ,defensive_assist,134.09,2팀,Bernar,마우가,0
[00:03:30] ,****,134.88,2팀,shu,키리코,1팀,ChiYo,루시우,0,41.45,0,0
[00:03:30] ,ability_1_used,134.91,2팀,shu,키리코,0
[00:03:31] ,point_progress,136.19,1,2팀,0,66.76
[00:03:32] ,ability_2_used,136.22,2팀,Proper,벤데타,0
[00:03:32] ,ability_1_used,136.33,2팀,knife,시온,0
[00:03:32] ,ability_1_used,137.18,1팀,SP1NT,시온,0
[00:03:33] ,****,138.21,2팀,Bernar,마우가,1팀,SP1NT,시온,Melee,35.20,0,0
[00:03:34] ,offensive_assist,138.29,2팀,Viol2t,루시우,0
[00:03:34] ,defensive_assist,138.65,2팀,shu,키리코,0
[00:03:35] ,objective_captured,139.23,1,2팀,0,68.04,19.47,0
[00:03:36] ,ability_1_used,141.02,2팀,Bernar,마우가,0
[00:03:38] ,ability_1_used,142.61,1팀,ChiYo,루시우,0
[00:03:39] ,ability_1_used,143.95,1팀,HanBin,마우가,0
[00:03:41] ,ability_1_used,145.30,2팀,shu,키리코,0
[00:03:41] ,ability_1_used,145.71,2팀,Viol2t,루시우,0
[00:03:44] ,ability_1_used,148.93,1팀,SP1NT,시온,0
[00:03:44] ,ability_1_used,149.19,2팀,knife,시온,0
[00:03:50] ,ability_1_used,154.56,1팀,ChiYo,루시우,0
[00:03:51] ,ability_2_used,155.25,1팀,CheckMate,리퍼,0
[00:03:51] ,ability_1_used,155.91,1팀,ChiYo,루시우,0
[00:03:52] ,ability_1_used,156.31,2팀,Viol2t,루시우,0
[00:03:52] ,ability_2_used,156.31,2팀,Proper,벤데타,0
[00:03:52] ,ability_2_used,156.53,2팀,knife,시온,0
[00:03:52] ,ability_1_used,156.57,2팀,Bernar,마우가,0
[00:03:52] ,ability_2_used,156.65,1팀,ChiYo,루시우,0
[00:03:52] ,ability_1_used,157.13,1팀,HanBin,마우가,0
[00:03:53] ,ultimate_start,157.77,1팀,ChiYo,루시우,0,1
[00:03:53] ,ability_2_used,157.88,2팀,Viol2t,루시우,0
[00:03:53] ,ability_2_used,157.96,1팀,SP1NT,시온,0
[00:03:53] ,ability_1_used,158.15,2팀,Proper,벤데타,0
[00:03:54] ,ability_2_used,158.55,2팀,Bernar,마우가,0
[00:03:54] ,ability_2_used,159.19,2팀,shu,키리코,0
[00:03:55] ,ability_1_used,160.01,1팀,CheckMate,리퍼,0
[00:03:56] ,ultimate_charged,160.36,1팀,SP1NT,시온,0,1
[00:03:56] ,ultimate_start,160.41,1팀,SP1NT,시온,0,1
[00:03:56] ,ability_1_used,160.76,2팀,knife,시온,0
[00:03:57] ,****,161.75,1팀,SP1NT,시온,2팀,Proper,벤데타,Ultimate,8.49,0,0
[00:03:57] ,offensive_assist,161.80,1팀,ChiYo,루시우,0
[00:03:57] ,defensive_assist,161.80,1팀,ChiYo,루시우,0
[00:03:57] ,offensive_assist,161.83,1팀,HanBin,마우가,0
[00:03:58] ,defensive_assist,162.23,1팀,Fielder,키리코,0
[00:03:59] ,ability_1_used,163.30,2팀,Bernar,마우가,0
[00:04:00] ,ultimate_end,164.50,1팀,ChiYo,루시우,0,1
[00:04:00] ,ability_1_used,164.98,1팀,ChiYo,루시우,0
[00:04:01] ,ability_1_used,165.38,1팀,Fielder,키리코,0
[00:04:01] ,ability_2_used,165.77,1팀,HanBin,마우가,0
[00:04:01] ,****,166.15,1팀,SP1NT,시온,2팀,knife,시온,Ultimate,25,0,0
[00:04:02] ,ability_2_used,166.33,1팀,Fielder,키리코,0
[00:04:02] ,ultimate_end,166.46,1팀,SP1NT,시온,0,1
[00:04:02] ,offensive_assist,166.49,1팀,ChiYo,루시우,0
[00:04:02] ,defensive_assist,166.49,1팀,ChiYo,루시우,0
[00:04:02] ,****,166.91,1팀,HanBin,마우가,2팀,Bernar,마우가,0,1.55,0,0
[00:04:02] ,defensive_assist,166.94,1팀,Fielder,키리코,0
[00:04:02] ,offensive_assist,166.95,1팀,ChiYo,루시우,0
[00:04:02] ,defensive_assist,166.95,1팀,ChiYo,루시우,0
[00:04:02] ,defensive_assist,166.97,1팀,HanBin,마우가,0
[00:04:03] ,ability_2_used,167.93,1팀,CheckMate,리퍼,0
[00:04:03] ,ability_1_used,168.22,1팀,ChiYo,루시우,0
[00:04:04] ,ability_1_used,168.52,2팀,shu,키리코,0
[00:04:05] ,ability_1_used,169.72,1팀,CheckMate,리퍼,0
[00:04:05] ,****,169.85,1팀,HanBin,마우가,2팀,Viol2t,루시우,0,0.51,0,0
[00:04:05] ,ability_1_used,170.04,1팀,ChiYo,루시우,0
[00:04:05] ,offensive_assist,170.22,1팀,ChiYo,루시우,0
[00:04:06] ,defensive_assist,170.27,1팀,HanBin,마우가,0
[00:04:06] ,defensive_assist,170.30,1팀,Fielder,키리코,0
[00:04:06] ,****,171.12,1팀,SP1NT,시온,2팀,shu,키리코,Melee,5,0,0
[00:04:06] ,defensive_assist,171.15,1팀,Fielder,키리코,0
[00:04:07] ,ability_1_used,171.76,1팀,HanBin,마우가,0
[00:04:07] ,ability_1_used,171.90,1팀,SP1NT,시온,0
[00:04:07] ,ability_2_used,172.09,1팀,ChiYo,루시우,0
[00:04:07] ,ability_1_used,172.11,1팀,ChiYo,루시우,0
[00:04:10] ,ability_1_used,174.28,2팀,knife,시온,0
[00:04:10] ,ability_1_used,174.33,2팀,Proper,벤데타,0
[00:04:10] ,ability_1_used,174.46,2팀,Bernar,마우가,0
[00:04:10] ,ability_2_used,174.72,2팀,knife,시온,0
[00:04:10] ,point_progress,174.99,1,1팀,0,33.39
[00:04:10] ,ability_1_used,175.12,1팀,Fielder,키리코,0
[00:04:12] ,point_progress,177.04,1,1팀,0,66.79
[00:04:13] ,ability_1_used,177.45,1팀,ChiYo,루시우,0
[00:04:14] ,point_progress,178.37,1,1팀,0,99.99
[00:04:14] ,objective_captured,178.38,1,1팀,0,68.05,52.07,0
[00:04:17] ,ability_1_used,181.89,2팀,Viol2t,루시우,0
[00:04:18] ,ability_2_used,182.40,2팀,Viol2t,루시우,0
[00:04:18] ,ability_1_used,183.22,1팀,ChiYo,루시우,0
[00:04:20] ,ability_2_used,184.35,2팀,Proper,벤데타,0
[00:04:20] ,ability_1_used,184.94,1팀,ChiYo,루시우,0
[00:04:21] ,ability_1_used,185.28,2팀,shu,키리코,0
[00:04:21] ,ability_2_used,185.66,1팀,SP1NT,시온,0
[00:04:21] ,ability_1_used,185.86,2팀,Proper,벤데타,0
[00:04:21] ,ability_1_used,185.94,1팀,HanBin,마우가,0
[00:04:22] ,ability_1_used,186.51,1팀,ChiYo,루시우,0
[00:04:22] ,ability_1_used,186.71,2팀,Bernar,마우가,0
[00:04:22] ,ability_1_used,186.82,1팀,Fielder,키리코,0
[00:04:23] ,ability_1_used,187.76,1팀,ChiYo,루시우,0
[00:04:23] ,ability_2_used,188.15,1팀,Fielder,키리코,0
[00:04:24] ,ability_2_used,188.99,2팀,Bernar,마우가,0
[00:04:24] ,ability_2_used,189.04,1팀,HanBin,마우가,0
[00:04:25] ,ultimate_charged,189.43,1팀,Fielder,키리코,0,2
[00:04:25] ,ability_2_used,189.81,1팀,ChiYo,루시우,0
[00:04:25] ,ability_1_used,189.92,2팀,knife,시온,0
[00:04:26] ,ability_2_used,190.43,2팀,shu,키리코,0
[00:04:26] ,ability_1_used,190.82,1팀,CheckMate,리퍼,0
[00:04:26] ,****,191.14,2팀,Proper,벤데타,1팀,ChiYo,루시우,Primary Fire,53.14,0,0
[00:04:27] ,defensive_assist,191.36,2팀,shu,키리코,0
[00:04:27] ,offensive_assist,191.36,2팀,Bernar,마우가,0
[00:04:27] ,defensive_assist,191.36,2팀,Bernar,마우가,0
[00:04:27] ,ultimate_charged,191.43,2팀,Viol2t,루시우,0,2
[00:04:27] ,ability_1_used,191.75,1팀,SP1NT,시온,0
