[00:06:13] ,player_stat,245.05,1,2팀,Bliss,엠레,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,2팀,Bliss,루시우,2,0,2,1787.34,0,1641.32,2509.56,742.52,455.07,1449.33,0,1,2,1,1,0,0,0,1,0,0,6,0.08,0,0,0,329,79,187,0,0,0.30,245.05
[00:06:13] ,player_stat,245.05,1,1팀,ChiYo,브리기테,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,1팀,ChiYo,바티스트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,1팀,ChiYo,미즈키,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,1팀,ChiYo,주노,4,1,2,1110.06,0,1110.06,0,253.04,0,922.57,0,0,0,1,1,0,0,0,1,0,0,51,0.06,0,0,0,1753,859,831,0,0,0.51,245.05
[00:06:13] ,round_end,245.05,1,2팀,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,2팀,ZEST,시메트라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,2팀,ZEST,파라,2,1,2,1350.06,0,1350.06,0,314.79,0,907.88,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,73,15,47,0,0,0.24,141.02
[00:06:13] ,player_stat,245.05,1,2팀,ZEST,트레이서,0,0,1,1208.77,0,1053.17,0,165.61,286.35,710.06,0,0,0,1,1,0,0,0,0,0,0,15,0.05,0,0,0,872,286,449,0,0,0.39,104.03
[00:06:26] ,round_start,245.05,2,1팀,0,3,0
[00:06:26] ,hero_spawn,245.05,1팀,HanBin,D.Va,,0
[00:06:26] ,hero_spawn,245.05,2팀,Proud,엠레,,0
[00:06:27] ,hero_spawn,245.05,1팀,SP1NT,파라,,0
[00:06:28] ,hero_spawn,245.05,1팀,Fielder,키리코,,0
[00:06:28] ,hero_spawn,245.05,1팀,ChiYo,아나,,0
[00:06:35] ,hero_swap,245.05,1팀,Fielder,브리기테,키리코,0
[00:06:35] ,hero_spawn,245.05,1팀,MER1T,엠레,,0
