[00:04:13] ,ability_1_used,105.45,1팀,SP1NT,캐서디,0
[00:04:14] ,payload_progress,106.09,1,2팀,1,20.02
[00:04:15] ,ultimate_start,106.80,2팀,STALK3R,캐서디,0,1
[00:04:16] ,ability_1_used,107.82,1팀,ChiYo,루시우,0
[00:04:16] ,ability_1_used,108.60,1팀,CheckMate,시메트라,0
[00:04:18] ,ability_1_used,110.44,2팀,CH0R0NG,루시우,0
[00:04:22] ,ultimate_end,113.99,2팀,STALK3R,캐서디,0,1
[00:04:22] ,ability_2_used,114.35,2팀,MAX,시그마,0
[00:04:25] ,ability_1_used,116.99,2팀,CH0R0NG,루시우,0
[00:04:27] ,payload_progress,119.34,1,2팀,1,30.02
[00:04:27] ,ability_1_used,119.69,1팀,CheckMate,시메트라,0
[00:04:29] ,ability_2_used,120.99,2팀,HeeSang,시메트라,0
[00:04:30] ,ability_2_used,122.07,1팀,ChiYo,루시우,0
[00:04:31] ,ability_2_used,123.07,2팀,STALK3R,캐서디,0
[00:04:32] ,ability_1_used,124.35,2팀,STALK3R,캐서디,0
[00:04:32] ,ability_2_used,124.46,1팀,Fielder,키리코,0
[00:04:32] ,ultimate_start,124.73,1팀,Fielder,키리코,0,1
[00:04:33] ,ability_1_used,124.99,1팀,HanBin,라마트라,0
[00:04:33] ,ultimate_start,125.69,2팀,vigilante,바티스트,0,1
[00:04:34] ,ability_2_used,125.82,1팀,SP1NT,캐서디,0
[00:04:34] ,ability_2_used,126.03,2팀,CH0R0NG,루시우,0
[00:04:34] ,ultimate_charged,126.35,2팀,HeeSang,시메트라,0,1
[00:04:34] ,ability_1_used,126.35,2팀,vigilante,바티스트,0
[00:04:35] ,ability_1_used,127.48,2팀,CH0R0NG,루시우,0
[00:04:35] ,ability_1_used,127.59,1팀,SP1NT,캐서디,0
[00:04:36] ,ability_2_used,127.88,2팀,MAX,시그마,0
[00:04:36] ,ability_2_used,127.90,1팀,HanBin,라마트라,0
[00:04:36] ,****,128.14,1팀,CheckMate,시메트라,2팀,CH0R0NG,루시우,Secondary Fire,25.46,0,0
[00:04:36] ,offensive_assist,128.31,1팀,Fielder,키리코,0
[00:04:36] ,defensive_assist,128.31,1팀,Fielder,키리코,0
[00:04:36] ,offensive_assist,128.38,1팀,ChiYo,루시우,0
[00:04:36] ,defensive_assist,128.38,1팀,ChiYo,루시우,0
[00:04:37] ,ultimate_charged,129.69,1팀,ChiYo,루시우,0,1
[00:04:38] ,ability_1_used,129.87,1팀,ChiYo,루시우,0
[00:04:43] ,ability_2_used,135.08,2팀,HeeSang,시메트라,0
[00:04:43] ,ability_2_used,135.50,1팀,ChiYo,루시우,0
[00:04:44] ,ultimate_end,135.95,1팀,Fielder,키리코,0,1
[00:04:44] ,ability_2_used,136.19,1팀,CheckMate,시메트라,0
[00:04:44] ,ultimate_end,136.20,2팀,vigilante,바티스트,0,1
[00:04:45] ,ability_1_used,137.20,1팀,ChiYo,루시우,0
[00:04:46] ,ability_2_used,138.19,1팀,SP1NT,캐서디,0
[00:04:46] ,ability_1_used,138.24,2팀,CH0R0NG,루시우,0
[00:04:46] ,ability_2_used,138.64,1팀,HanBin,라마트라,0
[00:04:46] ,ability_2_used,138.75,2팀,CH0R0NG,루시우,0
[00:04:47] ,ultimate_start,139.10,2팀,HeeSang,시메트라,0,1
[00:04:48] ,ability_1_used,139.77,1팀,ChiYo,루시우,0
[00:04:48] ,payload_progress,139.98,1,2팀,1,40.02
[00:04:48] ,ability_1_used,140.01,2팀,STALK3R,캐서디,0
[00:04:49] ,ability_2_used,141.44,2팀,MAX,시그마,0
[00:04:50] ,****,141.79,1팀,CheckMate,시메트라,2팀,HeeSang,시메트라,Secondary Fire,13.74,0,0
[00:04:50] ,offensive_assist,141.95,1팀,HanBin,라마트라,0
[00:04:50] ,defensive_assist,141.97,1팀,Fielder,키리코,0
[00:04:50] ,offensive_assist,141.98,1팀,ChiYo,루시우,0
[00:04:51] ,ability_1_used,143.38,1팀,ChiYo,루시우,0
[00:04:52] ,ultimate_charged,144.21,1팀,SP1NT,캐서디,0,1
[00:04:52] ,ability_1_used,144.48,1팀,CheckMate,시메트라,0
[00:04:53] ,ability_1_used,144.96,1팀,ChiYo,루시우,0
[00:04:53] ,ultimate_charged,144.98,1팀,CheckMate,시메트라,0,1
[00:04:53] ,ability_1_used,145.14,1팀,HanBin,라마트라,0
[00:04:53] ,****,145.22,1팀,SP1NT,캐서디,2팀,STALK3R,캐서디,Primary Fire,25.78,0,0
[00:04:53] ,defensive_assist,145.23,1팀,Fielder,키리코,0
[00:04:55] ,ability_1_used,146.80,1팀,SP1NT,캐서디,0
[00:04:55] ,ability_1_used,147.14,1팀,ChiYo,루시우,0
[00:04:55] ,ability_2_used,147.39,2팀,vigilante,바티스트,0
[00:04:56] ,****,148.40,1팀,SP1NT,캐서디,2팀,MAX,시그마,Primary Fire,4.53,0,0
[00:04:56] ,ability_1_used,148.50,2팀,vigilante,바티스트,0
[00:04:56] ,defensive_assist,148.53,1팀,Fielder,키리코,0
[00:04:56] ,offensive_assist,148.58,1팀,ChiYo,루시우,0
[00:04:58] ,ability_1_used,149.97,1팀,Fielder,키리코,0
[00:04:58] ,****,150.21,1팀,HanBin,라마트라,2팀,vigilante,바티스트,Melee,3.44,0,0
[00:04:58] ,ability_1_used,150.23,1팀,ChiYo,루시우,0
[00:04:58] ,defensive_assist,150.42,1팀,Fielder,키리코,0
[00:04:59] ,ultimate_end,151.35,2팀,HeeSang,시메트라,0,1
[00:05:02] ,ability_1_used,154.37,2팀,STALK3R,캐서디,0
[00:05:03] ,ability_1_used,155.40,1팀,CheckMate,시메트라,0
[00:05:05] ,ability_1_used,157.27,1팀,ChiYo,루시우,0
[00:05:05] ,ability_1_used,157.49,1팀,CheckMate,시메트라,0
[00:05:08] ,ability_2_used,160.55,2팀,CH0R0NG,루시우,0
[00:05:09] ,ability_1_used,160.87,2팀,STALK3R,캐서디,0
