[00:04:14] ,****,157.99,2팀,CheckMate,시메트라,1팀,Proper,에코,Secondary Fire,22.50,0,0
[00:04:14] ,ability_2_used,157.99,2팀,Someone,시그마,0
[00:04:15] ,ability_1_used,158.90,2팀,ChiYo,주노,0
[00:04:15] ,ability_1_used,159.17,1팀,knife,소전,0
[00:04:16] ,ability_2_used,159.57,1팀,knife,소전,0
[00:04:17] ,****,160.76,2팀,Fielder,키리코,1팀,knife,소전,0,45.29,0,0
[00:04:17] ,defensive_assist,160.85,2팀,Fielder,키리코,0
[00:04:17] ,ability_2_used,160.85,2팀,Fielder,키리코,0
[00:04:20] ,point_progress,163.98,1,2팀,0,33.34
[00:04:23] ,point_progress,167.32,1,2팀,0,66.79
[00:04:27] ,point_progress,170.63,1,2팀,0,99.91
[00:04:27] ,objective_updated,170.65,1,0,1
[00:04:27] ,objective_captured,170.65,1,2팀,1,0,0,219.35
[00:04:27] ,hero_swap,170.79,1팀,knife,겐지,소전,170.79
[00:04:27] ,ability_1_used,170.99,1팀,Proper,에코,0
[00:04:28] ,ability_1_used,171.80,1팀,knife,겐지,0
[00:04:29] ,ability_1_used,172.91,2팀,MER1T,캐서디,0
[00:04:30] ,hero_swap,173.92,1팀,knife,캐서디,겐지,3.12
[00:04:32] ,ability_1_used,176.21,1팀,knife,캐서디,0
[00:04:34] ,ability_1_used,178.35,2팀,Someone,시그마,0
[00:04:36] ,ability_1_used,180.14,1팀,Proper,에코,0
[00:04:36] ,hero_swap,180.33,1팀,knife,엠레,캐서디,6.42
[00:04:37] ,ability_1_used,180.70,1팀,knife,엠레,0
[00:04:40] ,payload_progress,183.71,1,2팀,1,10.02
[00:04:43] ,ability_2_used,187.04,2팀,CheckMate,시메트라,0
[00:04:45] ,ability_1_used,189.11,2팀,CheckMate,시메트라,0
[00:04:48] ,ability_2_used,191.62,1팀,knife,엠레,0
[00:04:48] ,ability_1_used,191.99,1팀,Viol2t,우양,0
[00:04:49] ,ability_1_used,193.24,2팀,CheckMate,시메트라,0
[00:04:50] ,ability_1_used,194.20,1팀,Proper,에코,0
[00:04:51] ,ability_1_used,194.76,2팀,Fielder,키리코,0
[00:04:51] ,ability_2_used,195.01,1팀,knife,엠레,0
[00:04:51] ,ability_2_used,195.49,2팀,Someone,시그마,0
[00:04:52] ,ability_2_used,196.25,1팀,Viol2t,우양,0
[00:04:52] ,ability_1_used,196.55,2팀,MER1T,캐서디,0
[00:04:53] ,ability_2_used,196.95,1팀,Bernar,라마트라,0
[00:04:54] ,ability_2_used,198.13,2팀,Fielder,키리코,0
[00:04:54] ,ultimate_start,198.45,1팀,Viol2t,우양,0,1
[00:04:56] ,ability_2_used,200.49,1팀,Proper,에코,0
[00:04:57] ,****,201.27,1팀,Proper,에코,2팀,Fielder,키리코,Ability 2,7.88,0,0
[00:04:59] ,ability_1_used,202.89,2팀,MER1T,캐서디,0
[00:04:59] ,ability_2_used,202.95,1팀,shu,아나,0
[00:04:59] ,ability_1_used,202.97,1팀,Viol2t,우양,0
[00:04:59] ,ability_1_used,203.00,2팀,Someone,시그마,0
[00:04:59] ,ability_1_used,203.26,1팀,Bernar,라마트라,0
[00:04:59] ,ability_2_used,203.50,2팀,ChiYo,주노,0
[00:05:00] ,ultimate_end,204.07,1팀,Viol2t,우양,0,1
[00:05:00] ,ability_1_used,204.12,1팀,knife,엠레,0
[00:05:01] ,ability_1_used,204.94,1팀,Proper,에코,0
[00:05:01] ,ability_2_used,205.03,2팀,CheckMate,시메트라,0
[00:05:02] ,ability_2_used,205.71,1팀,knife,엠레,0
[00:05:03] ,ability_1_used,206.59,2팀,ChiYo,주노,0
[00:05:03] ,ability_1_used,207.43,1팀,shu,아나,0
[00:05:04] ,****,207.63,1팀,Proper,에코,2팀,Someone,시그마,Primary Fire,26.83,True,0
[00:05:04] ,defensive_assist,207.80,1팀,shu,아나,0
[00:05:06] ,ability_2_used,209.83,1팀,Bernar,라마트라,0
[00:05:06] ,ability_2_used,210.57,1팀,Viol2t,우양,0
[00:05:07] ,****,210.70,1팀,shu,아나,2팀,MER1T,캐서디,Primary Fire,26.67,0,0
[00:05:07] ,offensive_assist,211.12,1팀,Bernar,라마트라,0
[00:05:08] ,ability_1_used,211.64,2팀,CheckMate,시메트라,0
[00:05:08] ,ability_1_used,212.12,2팀,Fielder,키리코,0
[00:05:10] ,ability_1_used,213.60,2팀,CheckMate,시메트라,0
[00:05:10] ,ability_1_used,214.46,1팀,Viol2t,우양,0
[00:05:13] ,ability_1_used,216.96,1팀,Proper,에코,0
[00:05:13] ,ability_1_used,217.04,2팀,ChiYo,주노,0
[00:05:15] ,ability_2_used,219.28,2팀,ChiYo,주노,0
[00:05:17] ,ability_1_used,221.25,2팀,MER1T,캐서디,0
[00:05:22] ,ability_1_used,226.23,1팀,Proper,에코,0
[00:05:22] ,ability_1_used,226.32,1팀,knife,엠레,0
[00:05:26] ,ability_2_used,229.65,1팀,Bernar,라마트라,0
[00:05:26] ,****,230.27,2팀,Fielder,키리코,1팀,Viol2t,우양,0,58.95,0,0
[00:05:28] ,ability_2_used,231.65,1팀,shu,아나,0
[00:05:28] ,ability_1_used,232.24,2팀,Fielder,키리코,0
[00:05:29] ,ability_2_used,232.64,2팀,CheckMate,시메트라,0
[00:05:29] ,ability_1_used,233.22,1팀,Bernar,라마트라,0
[00:05:29] ,ability_1_used,233.32,1팀,shu,아나,0
[00:05:29] ,ability_2_used,233.48,2팀,Fielder,키리코,0
[00:05:30] ,ability_2_used,234.28,2팀,Someone,시그마,0
[00:05:30] ,ability_2_used,234.50,1팀,Proper,에코,0
[00:05:31] ,ability_1_used,234.90,2팀,MER1T,캐서디,0
[00:05:31] ,ability_2_used,235.35,1팀,knife,엠레,0
[00:05:31] ,ability_2_used,235.51,2팀,MER1T,캐서디,0
[00:05:31] ,****,235.56,2팀,CheckMate,시메트라,1팀,shu,아나,Melee,19.69,0,0
[00:05:32] ,defensive_assist,235.61,2팀,Fielder,키리코,0
[00:05:32] ,ability_2_used,236.49,2팀,ChiYo,주노,0
[00:05:35] ,ability_1_used,238.97,2팀,Someone,시그마,0
[00:05:35] ,****,238.98,2팀,Fielder,키리코,1팀,Proper,에코,0,63.08,True,0
[00:05:35] ,ability_2_used,239.11,1팀,knife,엠레,0
[00:05:35] ,defensive_assist,239.37,2팀,Fielder,키리코,0
[00:05:37] ,****,240.63,2팀,CheckMate,시메트라,1팀,Bernar,라마트라,Primary Fire,15.41,0,0
[00:05:37] ,defensive_assist,240.78,2팀,Fielder,키리코,0
[00:05:37] ,offensive_assist,240.81,2팀,Someone,시그마,0
[00:05:37] ,ability_1_used,240.98,2팀,MER1T,캐서디,0
[00:05:38] ,hero_swap,242.31,1팀,Viol2t,제트팩 캣,우양,242.31
[00:05:38] ,ability_1_used,242.33,1팀,knife,엠레,0
[00:05:39] ,ability_1_used,242.63,2팀,ChiYo,주노,0
[00:05:39] ,ability_1_used,242.76,1팀,Viol2t,제트팩 캣,0
[00:05:42] ,payload_progress,245.66,1,2팀,1,20.03
[00:05:42] ,ability_2_used,246.25,1팀,knife,엠레,0
[00:05:43] ,ability_1_used,246.81,2팀,MER1T,캐서디,0
[00:05:43] ,ability_2_used,247.56,2팀,Someone,시그마,0
[00:05:44] ,ability_1_used,247.87,2팀,Fielder,키리코,0
[00:05:44] ,ultimate_charged,248.03,2팀,Fielder,키리코,0,2
[00:05:45] ,ability_1_used,249.58,2팀,CheckMate,시메트라,0
[00:05:46] ,ability_1_used,249.79,1팀,Viol2t,제트팩 캣,0
[00:05:46] ,ability_1_used,250.28,2팀,CheckMate,시메트라,0
[00:05:47] ,ability_1_used,251.53,1팀,Proper,에코,0
[00:05:48] ,ability_1_used,252.40,2팀,CheckMate,시메트라,0
[00:05:49] ,ability_1_used,253.55,2팀,MER1T,캐서디,0
[00:05:53] ,payload_progress,257.09,1,2팀,1,30.03
[00:05:55] ,ability_1_used,258.70,1팀,Viol2t,제트팩 캣,0
[00:05:59] ,ability_1_used,262.85,1팀,Proper,에코,0
[00:06:00] ,ability_2_used,264.49,1팀,knife,엠레,0
[00:06:00] ,ability_1_used,264.58,2팀,CheckMate,시메트라,0
[00:06:01] ,ability_2_used,265.29,1팀,Bernar,라마트라,0
[00:06:01] ,ability_1_used,265.56,2팀,Someone,시그마,0
[00:06:02] ,ability_2_used,266.40,1팀,Viol2t,제트팩 캣,0
[00:06:03] ,ability_1_used,267.21,1팀,Bernar,라마트라,0
[00:06:03] ,ability_2_used,267.37,1팀,shu,아나,0
[00:06:03] ,ability_1_used,267.52,2팀,MER1T,캐서디,0
[00:06:03] ,ability_2_used,267.55,1팀,knife,엠레,0
[00:06:04] ,ability_1_used,267.61,2팀,Fielder,키리코,0
[00:06:04] ,ability_2_used,268.06,2팀,Fielder,키리코,0
[00:06:04] ,ability_2_used,268.13,2팀,CheckMate,시메트라,0
[00:06:04] ,ultimate_start,268.24,2팀,Fielder,키리코,0,2
[00:06:04] ,ability_2_used,268.33,1팀,Proper,에코,0
[00:06:04] ,ultimate_start,268.56,2팀,Someone,시그마,0,1
[00:06:05] ,payload_progress,268.97,1,2팀,1,40.01
