[00:02:37] ,ability_2_used,78.29,2팀,MAX,시그마,0
[00:02:38] ,ability_2_used,78.84,1팀,Fielder,브리기테,0
[00:02:38] ,ability_2_used,79.50,1팀,Fielder,브리기테,0
[00:02:38] ,ability_2_used,79.55,1팀,HanBin,마우가,0
[00:02:39] ,****,79.80,2팀,STALK3R,시온,1팀,HanBin,마우가,Primary Fire,7.76,0,0
[00:02:39] ,ability_1_used,79.82,1팀,MER1T,시온,0
[00:02:39] ,defensive_assist,79.90,2팀,vigilante,키리코,0
[00:02:39] ,ability_1_used,79.90,2팀,vigilante,키리코,0
[00:02:39] ,ability_2_used,80.36,2팀,vigilante,키리코,0
[00:02:39] ,ability_1_used,80.56,2팀,CH0R0NG,우양,0
[00:02:40] ,ability_1_used,80.97,1팀,Fielder,브리기테,0
[00:02:40] ,ability_2_used,81.31,1팀,SP1NT,벤데타,0
[00:02:41] ,ability_1_used,81.98,1팀,ChiYo,주노,0
[00:02:41] ,ability_2_used,82.38,2팀,CH0R0NG,우양,0
[00:02:42] ,****,83.74,2팀,HeeSang,시메트라,1팀,SP1NT,벤데타,Primary Fire,15.30,0,0
[00:02:43] ,****,83.85,2팀,HeeSang,시메트라,1팀,MER1T,시온,Ability 1,2.46,0,0
[00:02:43] ,offensive_assist,84.14,2팀,vigilante,키리코,0
[00:02:43] ,defensive_assist,84.14,2팀,vigilante,키리코,0
[00:02:43] ,ability_1_used,84.49,2팀,STALK3R,시온,0
[00:02:46] ,ability_1_used,87.50,2팀,vigilante,키리코,0
[00:02:47] ,ability_1_used,88.11,2팀,HeeSang,시메트라,0
[00:02:47] ,ability_2_used,88.56,1팀,Fielder,브리기테,0
[00:02:50] ,ability_1_used,90.99,2팀,STALK3R,시온,0
[00:02:51] ,ability_2_used,92.33,1팀,MER1T,시온,0
[00:02:51] ,ability_1_used,92.35,1팀,HanBin,마우가,0
[00:02:51] ,ability_2_used,92.56,1팀,ChiYo,주노,0
[00:02:52] ,ability_1_used,93.29,1팀,Fielder,브리기테,0
[00:02:52] ,ability_2_used,93.39,2팀,STALK3R,시온,0
[00:02:52] ,ability_1_used,93.68,1팀,SP1NT,벤데타,0
[00:02:53] ,ability_2_used,94.08,2팀,HeeSang,시메트라,0
[00:02:55] ,ability_1_used,96.28,1팀,MER1T,시온,0
[00:02:56] ,ultimate_charged,97.07,1팀,MER1T,시온,0,1
[00:02:56] ,****,97.16,1팀,MER1T,시온,2팀,HeeSang,시메트라,Secondary Fire,20.08,True,0
[00:02:57] ,****,97.87,2팀,STALK3R,시온,1팀,Fielder,브리기테,Primary Fire,10.77,0,0
[00:02:58] ,ability_2_used,99.31,2팀,CH0R0NG,우양,0
[00:02:58] ,ability_1_used,99.55,2팀,STALK3R,시온,0
[00:02:59] ,ability_1_used,100.04,1팀,HanBin,마우가,0
[00:03:00] ,ability_1_used,101.08,2팀,CH0R0NG,우양,0
[00:03:01] ,ability_1_used,102.40,1팀,MER1T,시온,0
[00:03:01] ,ultimate_start,102.72,1팀,MER1T,시온,0,1
[00:03:02] ,ability_2_used,102.96,1팀,HanBin,마우가,0
[00:03:02] ,ability_2_used,103.21,2팀,MAX,시그마,0
[00:03:03] ,ability_1_used,103.96,1팀,ChiYo,주노,0
[00:03:03] ,ability_2_used,104.30,2팀,vigilante,키리코,0
[00:03:04] ,ability_1_used,105.34,2팀,vigilante,키리코,0
[00:03:05] ,ultimate_end,106.11,1팀,MER1T,시온,0,1
[00:03:05] ,ability_1_used,106.28,2팀,MAX,시그마,0
[00:03:06] ,****,107.20,2팀,STALK3R,시온,1팀,MER1T,시온,Melee,15.00,0,0
[00:03:06] ,offensive_assist,107.63,2팀,vigilante,키리코,0
[00:03:06] ,defensive_assist,107.63,2팀,vigilante,키리코,0
[00:03:06] ,ability_1_used,107.74,2팀,STALK3R,시온,0
[00:03:06] ,ability_2_used,107.76,2팀,HeeSang,시메트라,0
[00:03:07] ,ability_1_used,108.35,1팀,SP1NT,벤데타,0
[00:03:08] ,****,109.19,1팀,ChiYo,주노,2팀,vigilante,키리코,Secondary Fire,83.80,0,0
[00:03:08] ,****,109.27,1팀,ChiYo,주노,2팀,MAX,시그마,Primary Fire,2.84,0,0
[00:03:08] ,ability_2_used,109.47,1팀,ChiYo,주노,0
[00:03:08] ,defensive_assist,109.53,1팀,HanBin,마우가,0
[00:03:08] ,defensive_assist,109.53,1팀,HanBin,마우가,0
[00:03:09] ,ability_2_used,109.80,1팀,SP1NT,벤데타,0
[00:03:10] ,ability_2_used,111.02,2팀,STALK3R,시온,0
[00:03:10] ,ability_1_used,111.61,1팀,HanBin,마우가,0
[00:03:10] ,****,111.75,1팀,SP1NT,벤데타,2팀,CH0R0NG,우양,Primary Fire,16.67,0,0
[00:03:10] ,ultimate_charged,111.75,1팀,SP1NT,벤데타,0,1
[00:03:11] ,ultimate_charged,112.22,2팀,STALK3R,시온,0,1
[00:03:11] ,ability_1_used,112.68,1팀,ChiYo,주노,0
[00:03:12] ,ultimate_start,113.11,2팀,STALK3R,시온,0,1
[00:03:14] ,ability_1_used,115.02,2팀,HeeSang,시메트라,0
[00:03:15] ,****,116.07,1팀,SP1NT,벤데타,2팀,STALK3R,시온,Primary Fire,69,0,0
[00:03:15] ,ultimate_end,116.07,2팀,STALK3R,시온,0,1
[00:03:15] ,point_progress,116.62,1,1팀,0,34.06
[00:03:16] ,ability_1_used,117.74,1팀,MER1T,시온,0
[00:03:17] ,point_progress,117.93,1,1팀,0,66.86
[00:03:17] ,ability_2_used,118.14,1팀,MER1T,시온,0
[00:03:18] ,objective_captured,119.40,1,1팀,0,0.01,65.75,0
[00:03:19] ,ability_2_used,120.01,1팀,Fielder,브리기테,0
[00:03:19] ,ability_2_used,120.57,1팀,Fielder,브리기테,0
[00:03:22] ,ability_1_used,123.74,1팀,MER1T,시온,0
[00:03:26] ,ultimate_charged,126.99,2팀,MAX,시그마,0,1
