[00:02:25] ,ability_1_used,75.34,1팀,ZEST,시메트라,0
[00:02:27] ,ability_2_used,77.61,2팀,ChiYo,루시우,0
[00:02:31] ,ability_2_used,81.21,1팀,Jasm1ne,도미나,0
[00:02:32] ,ability_1_used,82.16,2팀,ChiYo,루시우,0
[00:02:32] ,ability_1_used,82.32,1팀,skewed,키리코,0
[00:02:34] ,ability_2_used,84.38,2팀,CheckMate,시메트라,0
[00:02:34] ,ability_1_used,84.41,2팀,ChiYo,루시우,0
[00:02:35] ,ultimate_charged,85.32,2팀,Fielder,키리코,0,1
[00:02:35] ,ability_2_used,85.45,1팀,ZEST,시메트라,0
[00:02:35] ,ability_1_used,85.61,2팀,ChiYo,루시우,0
[00:02:35] ,ability_1_used,85.76,2팀,Someone,라마트라,0
[00:02:35] ,ability_1_used,85.92,1팀,Bliss,루시우,0
[00:02:36] ,ultimate_start,86.22,2팀,Fielder,키리코,0,1
[00:02:36] ,ability_2_used,86.78,2팀,Someone,라마트라,0
[00:02:38] ,ability_1_used,88.01,2팀,Fielder,키리코,0
[00:02:38] ,****,88.11,2팀,Someone,라마트라,1팀,Proud,바스티온,Ability 1,49.78,0,0
[00:02:38] ,ability_2_used,88.25,1팀,Bliss,루시우,0
[00:02:38] ,offensive_assist,88.43,2팀,Fielder,키리코,0
[00:02:38] ,defensive_assist,88.43,2팀,Fielder,키리코,0
[00:02:38] ,offensive_assist,88.44,2팀,ChiYo,루시우,0
[00:02:38] ,defensive_assist,88.44,2팀,ChiYo,루시우,0
[00:02:38] ,ability_2_used,88.46,2팀,Fielder,키리코,0
[00:02:38] ,ability_2_used,88.68,1팀,skewed,키리코,0
[00:02:39] ,ability_1_used,89.68,1팀,skewed,키리코,0
[00:02:39] ,ability_1_used,89.71,1팀,Bliss,루시우,0
[00:02:40] ,ability_2_used,90.16,2팀,MER1T,소전,0
[00:02:40] ,ultimate_charged,90.64,2팀,ChiYo,루시우,0,1
[00:02:41] ,ultimate_charged,91.00,1팀,skewed,키리코,0,1
[00:02:41] ,ability_1_used,91.02,2팀,ChiYo,루시우,0
[00:02:41] ,ability_1_used,91.68,1팀,Bliss,루시우,0
[00:02:42] ,ability_2_used,92.06,1팀,Jasm1ne,도미나,0
[00:02:42] ,ability_1_used,92.20,2팀,CheckMate,시메트라,0
[00:02:43] ,ability_2_used,93.02,2팀,ChiYo,루시우,0
[00:02:44] ,ultimate_charged,94.86,1팀,Bliss,루시우,0,1
[00:02:46] ,ability_1_used,96.00,2팀,ChiYo,루시우,0
[00:02:46] ,ability_1_used,96.08,1팀,Bliss,루시우,0
[00:02:46] ,ability_2_used,96.91,2팀,Someone,라마트라,0
[00:02:47] ,ultimate_end,97.13,2팀,Fielder,키리코,0,1
[00:02:48] ,ability_2_used,98.22,1팀,ZEST,시메트라,0
[00:02:48] ,ultimate_start,98.41,1팀,skewed,키리코,0,1
[00:02:49] ,ability_1_used,99.76,1팀,Bliss,루시우,0
[00:02:51] ,ability_1_used,101.18,2팀,MER1T,소전,0
[00:02:52] ,ultimate_charged,102.00,2팀,CheckMate,시메트라,0,1
[00:02:54] ,ability_1_used,104.30,2팀,CheckMate,시메트라,0
