[00:04:34] ,ability_1_used,116.71,1팀,Someone,시그마,0
[00:04:35] ,ultimate_charged,117.71,1팀,Fielder,키리코,0,1
[00:04:35] ,ability_2_used,118.38,1팀,Fielder,키리코,0
[00:04:36] ,ultimate_charged,118.44,2팀,Bliss,브리기테,0,1
[00:04:36] ,****,118.54,2팀,DONGHAK,오리사,1팀,ChiYo,미즈키,Ultimate,93.56,0,0
[00:04:36] ,ability_1_used,118.65,1팀,MER1T,캐서디,0
[00:04:36] ,ability_1_used,118.83,1팀,Fielder,키리코,0
[00:04:36] ,ultimate_end,118.84,2팀,DONGHAK,오리사,0,1
[00:04:36] ,offensive_assist,118.97,2팀,Bliss,브리기테,0
[00:04:36] ,defensive_assist,118.97,2팀,Bliss,브리기테,0
[00:04:36] ,ability_1_used,119.19,2팀,DONGHAK,오리사,0
[00:04:36] ,ultimate_start,119.29,1팀,Fielder,키리코,0,1
[00:04:37] ,ultimate_start,120.23,2팀,Bliss,브리기테,0,1
[00:04:38] ,ultimate_charged,120.41,1팀,MER1T,캐서디,0,1
[00:04:38] ,ultimate_end,121.37,1팀,ChiYo,미즈키,0,1
[00:04:39] ,ultimate_start,121.74,1팀,Someone,시그마,0,1
[00:04:39] ,****,121.82,2팀,DONGHAK,오리사,1팀,Fielder,키리코,Primary Fire,1.47,0,0
[00:04:39] ,ultimate_end,122.14,2팀,skewed,주노,0,1
[00:04:39] ,****,122.19,2팀,Bliss,브리기테,1팀,CheckMate,시메트라,Primary Fire,30.56,0,0
[00:04:39] ,offensive_assist,122.27,2팀,Bliss,브리기테,0
[00:04:39] ,defensive_assist,122.27,2팀,Bliss,브리기테,0
[00:04:39] ,defensive_assist,122.27,2팀,Bliss,브리기테,0
[00:04:41] ,ability_1_used,123.47,2팀,skewed,주노,0
[00:04:41] ,ability_1_used,124.19,2팀,ZEST,벤데타,0
[00:04:41] ,ability_2_used,124.28,2팀,skewed,주노,0
[00:04:42] ,ability_1_used,124.95,1팀,MER1T,캐서디,0
[00:04:43] ,ability_2_used,125.50,2팀,DONGHAK,오리사,0
[00:04:43] ,ability_1_used,125.69,2팀,Proud,소전,0
[00:04:43] ,****,125.74,1팀,Someone,시그마,2팀,Bliss,브리기테,Ultimate,113.39,0,0
[00:04:43] ,ultimate_end,125.74,2팀,Bliss,브리기테,0,1
[00:04:43] ,ultimate_end,125.90,1팀,Someone,시그마,0,1
[00:04:43] ,defensive_assist,126.03,1팀,ChiYo,미즈키,0
[00:04:43] ,offensive_assist,126.11,1팀,Fielder,키리코,0
[00:04:43] ,defensive_assist,126.11,1팀,Fielder,키리코,0
[00:04:44] ,ability_2_used,126.70,1팀,MER1T,캐서디,0
[00:04:44] ,ability_2_used,126.86,1팀,Someone,시그마,0
[00:04:44] ,****,127.02,2팀,Proud,소전,1팀,MER1T,캐서디,Primary Fire,7.50,0,0
[00:04:45] ,defensive_assist,127.42,2팀,Bliss,브리기테,0
[00:04:47] ,****,130.09,2팀,skewed,주노,1팀,Someone,시그마,Primary Fire,4.28,0,0
[00:04:47] ,ultimate_end,130.28,1팀,Fielder,키리코,0,1
[00:04:48] ,ability_2_used,130.94,2팀,ZEST,벤데타,0
[00:04:52] ,ability_2_used,135.15,1팀,CheckMate,시메트라,0
[00:04:57] ,hero_swap,140.01,1팀,ChiYo,주노,미즈키,140.01
[00:04:57] ,ability_1_used,140.05,1팀,MER1T,캐서디,0
[00:04:58] ,ability_1_used,141.02,1팀,ChiYo,주노,0
[00:04:58] ,ability_2_used,141.29,1팀,ChiYo,주노,0
[00:05:07] ,ability_2_used,149.51,1팀,CheckMate,시메트라,0
[00:05:08] ,ability_2_used,150.51,2팀,Proud,소전,0
[00:05:08] ,ability_2_used,150.58,2팀,skewed,주노,0
[00:05:08] ,ability_1_used,150.71,1팀,CheckMate,시메트라,0
[00:05:08] ,ultimate_start,150.72,2팀,Proud,소전,0,1
[00:05:09] ,ability_1_used,151.46,1팀,CheckMate,시메트라,0
[00:05:09] ,ultimate_charged,152.02,2팀,ZEST,벤데타,0,1
[00:05:11] ,ability_2_used,153.99,1팀,Someone,시그마,0
[00:05:11] ,ability_2_used,154.00,2팀,DONGHAK,오리사,0
[00:05:12] ,ability_1_used,154.48,2팀,Proud,소전,0
[00:05:13] ,ability_1_used,156.33,1팀,Fielder,키리코,0
[00:05:14] ,ability_1_used,156.50,1팀,MER1T,캐서디,0
[00:05:14] ,ultimate_start,156.50,2팀,ZEST,벤데타,0,1
[00:05:14] ,ability_2_used,156.63,2팀,Bliss,브리기테,0
[00:05:14] ,ability_2_used,157.08,1팀,Fielder,키리코,0
[00:05:15] ,ability_2_used,157.49,1팀,ChiYo,주노,0
[00:05:16] ,ability_1_used,159.01,2팀,skewed,주노,0
[00:05:17] ,ultimate_end,159.46,2팀,Proud,소전,0,1
[00:05:17] ,ultimate_charged,159.97,1팀,CheckMate,시메트라,0,1
[00:05:17] ,ultimate_end,160.25,2팀,ZEST,벤데타,0,1
[00:05:18] ,ability_1_used,160.71,1팀,Someone,시그마,0
[00:05:18] ,ultimate_start,160.73,1팀,CheckMate,시메트라,0,1
[00:05:18] ,ability_1_used,160.95,1팀,ChiYo,주노,0
[00:05:19] ,ability_1_used,161.64,1팀,MER1T,캐서디,0
[00:05:20] ,ability_2_used,162.44,2팀,Bliss,브리기테,0
[00:05:22] ,ability_2_used,164.55,2팀,ZEST,벤데타,0
[00:05:22] ,ability_1_used,165.16,2팀,Bliss,브리기테,0
[00:05:22] ,ability_2_used,165.42,2팀,DONGHAK,오리사,0
[00:05:23] ,ability_2_used,165.51,2팀,skewed,주노,0
[00:05:23] ,****,165.77,1팀,CheckMate,시메트라,2팀,Bliss,브리기테,Primary Fire,2.61,0,0
[00:05:23] ,defensive_assist,166.06,1팀,Fielder,키리코,0
[00:05:23] ,ability_1_used,166.15,2팀,ZEST,벤데타,0
[00:05:23] ,ability_2_used,166.23,1팀,MER1T,캐서디,0
[00:05:24] ,ability_2_used,166.55,2팀,Proud,소전,0
[00:05:24] ,ability_2_used,166.71,1팀,Someone,시그마,0
[00:05:24] ,ability_1_used,167.00,2팀,DONGHAK,오리사,0
[00:05:26] ,ability_1_used,168.97,1팀,MER1T,캐서디,0
[00:05:26] ,ability_1_used,169.21,1팀,CheckMate,시메트라,0
[00:05:26] ,ability_2_used,169.31,1팀,CheckMate,시메트라,0
[00:05:27] ,ability_1_used,170.09,1팀,ChiYo,주노,0
[00:05:27] ,ability_1_used,170.27,1팀,Fielder,키리코,0
[00:05:27] ,****,170.39,2팀,ZEST,벤데타,1팀,CheckMate,시메트라,Primary Fire,10,0,0
[00:05:28] ,defensive_assist,170.65,2팀,Bliss,브리기테,0
[00:05:29] ,****,171.48,1팀,ChiYo,주노,2팀,DONGHAK,오리사,Primary Fire,4.80,0,0
[00:05:29] ,defensive_assist,171.71,1팀,Fielder,키리코,0
[00:05:30] ,ability_2_used,172.60,1팀,ChiYo,주노,0
[00:05:30] ,ultimate_end,172.97,1팀,CheckMate,시메트라,0,1
[00:05:31] ,ability_2_used,173.45,2팀,ZEST,벤데타,0
[00:05:32] ,ability_1_used,174.48,1팀,MER1T,캐서디,0
[00:05:33] ,****,176.25,1팀,Fielder,키리코,2팀,ZEST,벤데타,0,40.77,True,0
[00:05:33] ,defensive_assist,176.41,1팀,Fielder,키리코,0
[00:05:35] ,ability_1_used,177.71,2팀,skewed,주노,0
[00:05:35] ,ability_1_used,178.41,2팀,Proud,소전,0
[00:05:36] ,ability_2_used,178.89,1팀,Someone,시그마,0
[00:05:36] ,****,179.23,2팀,Proud,소전,1팀,MER1T,캐서디,Primary Fire,8.36,0,0
[00:05:37] ,ability_2_used,179.47,1팀,Fielder,키리코,0
[00:05:37] ,ability_1_used,179.60,1팀,ChiYo,주노,0
[00:05:38] ,ability_2_used,180.45,2팀,DONGHAK,오리사,0
[00:05:38] ,****,181.25,1팀,Fielder,키리코,2팀,Proud,소전,0,19.43,0,0
[00:05:39] ,ability_2_used,181.54,2팀,skewed,주노,0
[00:05:39] ,defensive_assist,181.57,1팀,Fielder,키리코,0
[00:05:40] ,****,183.36,1팀,ChiYo,주노,2팀,skewed,주노,Primary Fire,2.66,0,0
[00:05:41] ,defensive_assist,183.46,1팀,Fielder,키리코,0
[00:05:41] ,ability_1_used,184.19,1팀,Fielder,키리코,0
[00:05:45] ,ability_1_used,188.40,1팀,ChiYo,주노,0
[00:05:47] ,ability_1_used,190.24,2팀,Bliss,브리기테,0
[00:05:48] ,ability_2_used,190.82,2팀,skewed,주노,0
[00:05:48] ,ability_1_used,190.96,2팀,ZEST,벤데타,0
[00:05:48] ,ability_1_used,191.33,1팀,MER1T,캐서디,0
[00:05:49] ,ability_2_used,191.64,1팀,CheckMate,시메트라,0
[00:05:49] ,ability_1_used,192.08,2팀,Proud,소전,0
[00:05:49] ,ability_2_used,192.26,1팀,ChiYo,주노,0
[00:05:55] ,ability_1_used,197.57,1팀,MER1T,캐서디,0
[00:05:56] ,ability_2_used,198.98,2팀,ZEST,벤데타,0
[00:05:57] ,ability_1_used,200.26,1팀,CheckMate,시메트라,0
[00:05:58] ,ability_1_used,200.98,1팀,CheckMate,시메트라,0
[00:05:58] ,ability_2_used,201.29,2팀,Bliss,브리기테,0
[00:06:00] ,ability_1_used,203.24,1팀,Fielder,키리코,0
[00:06:03] ,ability_1_used,205.83,2팀,Bliss,브리기테,0
[00:06:03] ,ability_2_used,206.41,1팀,CheckMate,시메트라,0
[00:06:04] ,ability_2_used,207.08,2팀,Proud,소전,0
[00:06:05] ,ability_2_used,207.71,2팀,skewed,주노,0
[00:06:05] ,ability_1_used,207.87,1팀,Someone,시그마,0
[00:06:05] ,ability_2_used,207.90,1팀,ChiYo,주노,0
[00:06:05] ,ability_2_used,208.04,1팀,Fielder,키리코,0
[00:06:05] ,ability_1_used,208.09,2팀,Proud,소전,0
[00:06:05] ,ability_1_used,208.36,1팀,ChiYo,주노,0
[00:06:06] ,ability_1_used,208.46,1팀,MER1T,캐서디,0
[00:06:06] ,ability_2_used,209.13,2팀,Bliss,브리기테,0
[00:06:07] ,ability_2_used,209.99,2팀,DONGHAK,오리사,0
[00:06:08] ,****,210.57,1팀,MER1T,캐서디,2팀,Proud,소전,Primary Fire,19.02,True,0
[00:06:08] ,ability_2_used,210.72,1팀,MER1T,캐서디,0
[00:06:08] ,offensive_assist,210.73,1팀,Fielder,키리코,0
[00:06:08] ,defensive_assist,210.73,1팀,Fielder,키리코,0
[00:06:08] ,ability_2_used,210.78,2팀,ZEST,벤데타,0
[00:06:09] ,ability_2_used,212.16,1팀,Someone,시그마,0
