[00:03:30] ,ability_1_used,64.35,1팀,MER1T,프레야,0
[00:03:31] ,ability_2_used,66.03,1팀,ChiYo,브리기테,0
[00:03:31] ,ability_1_used,66.25,2팀,HeeSang,트레이서,0
[00:03:33] ,ability_1_used,67.71,1팀,ChiYo,브리기테,0
[00:03:34] ,ability_1_used,68.40,1팀,SP1NT,트레이서,0
[00:03:34] ,ability_1_used,68.81,1팀,HanBin,해저드,0
[00:03:34] ,ability_2_used,68.93,1팀,ChiYo,브리기테,0
[00:03:34] ,ability_1_used,69.02,2팀,HeeSang,트레이서,0
[00:03:34] ,ability_1_used,69.13,1팀,SP1NT,트레이서,0
[00:03:36] ,ability_1_used,70.69,2팀,HeeSang,트레이서,0
[00:03:37] ,ability_1_used,71.39,1팀,SP1NT,트레이서,0
[00:03:37] ,ability_2_used,72.09,1팀,HanBin,해저드,0
[00:03:37] ,ability_2_used,72.17,2팀,STALK3R,시온,0
[00:03:38] ,ability_1_used,72.57,1팀,Fielder,키리코,0
[00:03:38] ,ability_2_used,72.91,2팀,HeeSang,트레이서,0
[00:03:38] ,payload_progress,72.97,1,2팀,0,20.01
[00:03:38] ,ultimate_charged,72.99,2팀,HeeSang,트레이서,0,1
[00:03:38] ,ability_1_used,73.17,1팀,SP1NT,트레이서,0
[00:03:39] ,ability_2_used,73.58,1팀,ChiYo,브리기테,0
[00:03:40] ,ability_1_used,74.94,1팀,HanBin,해저드,0
[00:03:40] ,ability_1_used,75.20,1팀,MER1T,프레야,0
[00:03:41] ,ability_1_used,75.42,2팀,HeeSang,트레이서,0
[00:03:41] ,ability_1_used,75.71,2팀,STALK3R,시온,0
[00:03:41] ,ability_2_used,76.06,2팀,vigilante,아나,0
[00:03:42] ,ability_1_used,77.00,2팀,HeeSang,트레이서,0
[00:03:42] ,ability_1_used,77.28,2팀,HeeSang,트레이서,0
[00:03:43] ,ability_1_used,77.34,1팀,ChiYo,브리기테,0
[00:03:43] ,ability_2_used,78.11,2팀,CH0R0NG,제트팩 캣,0
[00:03:44] ,ability_1_used,78.33,1팀,MER1T,프레야,0
[00:03:44] ,ability_2_used,78.51,2팀,MAX,오리사,0
[00:03:44] ,ability_2_used,78.54,1팀,Fielder,키리코,0
[00:03:44] ,ultimate_charged,79.02,1팀,MER1T,프레야,0,1
[00:03:44] ,ability_2_used,79.05,1팀,ChiYo,브리기테,0
[00:03:44] ,****,79.20,2팀,STALK3R,시온,1팀,HanBin,해저드,Primary Fire,2.79,0,0
[00:03:45] ,defensive_assist,79.48,2팀,vigilante,아나,0
[00:03:45] ,offensive_assist,79.58,2팀,CH0R0NG,제트팩 캣,0
[00:03:45] ,defensive_assist,79.58,2팀,CH0R0NG,제트팩 캣,0
[00:03:46] ,ability_1_used,80.41,2팀,MAX,오리사,0
[00:03:46] ,ability_1_used,80.41,1팀,SP1NT,트레이서,0
[00:03:46] ,ability_1_used,80.68,1팀,MER1T,프레야,0
[00:03:47] ,ultimate_start,81.63,1팀,MER1T,프레야,0,1
[00:03:47] ,ability_1_used,81.72,1팀,SP1NT,트레이서,0
[00:03:47] ,ability_2_used,82.16,1팀,SP1NT,트레이서,0
[00:03:47] ,ultimate_end,82.27,1팀,MER1T,프레야,0,1
