[00:02:53] ,ability_2_used,60.49,1팀,ChiYo,브리기테,0
[00:02:53] ,ability_2_used,60.65,1팀,MER1T,프레야,0
[00:02:54] ,ability_1_used,61.90,2팀,STALK3R,프레야,0
[00:02:55] ,ability_1_used,62.27,1팀,MER1T,프레야,0
[00:02:55] ,ability_1_used,62.73,2팀,CH0R0NG,미즈키,0
[00:02:55] ,ultimate_charged,62.99,1팀,MER1T,프레야,0,1
[00:02:56] ,ability_1_used,63.39,1팀,MER1T,프레야,0
[00:02:56] ,ability_1_used,64.11,1팀,SP1NT,트레이서,0
[00:02:56] ,ability_2_used,64.14,2팀,STALK3R,프레야,0
[00:02:59] ,ability_1_used,66.32,1팀,SP1NT,트레이서,0
[00:02:59] ,ability_1_used,66.38,2팀,STALK3R,프레야,0
[00:02:59] ,ability_1_used,66.89,2팀,STALK3R,프레야,0
[00:03:03] ,hero_swap,70.93,2팀,HeeSang,트레이서,시메트라,70.93
[00:03:04] ,ability_1_used,71.41,1팀,MER1T,프레야,0
[00:03:04] ,ability_1_used,71.55,2팀,HeeSang,트레이서,0
[00:03:05] ,ability_1_used,73.05,2팀,STALK3R,프레야,0
[00:03:05] ,ability_1_used,73.15,1팀,SP1NT,트레이서,0
[00:03:06] ,ability_1_used,74.03,2팀,HeeSang,트레이서,0
[00:03:07] ,ability_1_used,74.21,2팀,HeeSang,트레이서,0
[00:03:07] ,ability_2_used,74.97,2팀,STALK3R,프레야,0
[00:03:08] ,ability_2_used,75.61,1팀,ChiYo,브리기테,0
[00:03:08] ,ability_1_used,75.97,1팀,SP1NT,트레이서,0
[00:03:09] ,ability_1_used,76.29,2팀,STALK3R,프레야,0
[00:03:10] ,ability_1_used,77.72,1팀,MER1T,프레야,0
[00:03:11] ,ability_1_used,78.91,2팀,HeeSang,트레이서,0
[00:03:11] ,ability_2_used,79.05,1팀,ChiYo,브리기테,0
[00:03:12] ,ability_1_used,79.26,1팀,SP1NT,트레이서,0
[00:03:12] ,ability_1_used,79.64,1팀,ChiYo,브리기테,0
[00:03:12] ,ability_1_used,79.95,1팀,MER1T,프레야,0
[00:03:14] ,ability_1_used,81.28,2팀,STALK3R,프레야,0
[00:03:14] ,ability_1_used,81.88,1팀,SP1NT,트레이서,0
[00:03:16] ,ability_2_used,83.20,1팀,ChiYo,브리기테,0
[00:03:16] ,ability_1_used,83.58,2팀,HeeSang,트레이서,0
[00:03:16] ,ability_1_used,83.79,1팀,MER1T,프레야,0
[00:03:16] ,ability_1_used,83.88,2팀,HeeSang,트레이서,0
[00:03:17] ,ability_1_used,84.56,1팀,SP1NT,트레이서,0
[00:03:17] ,ability_1_used,84.73,1팀,ChiYo,브리기테,0
[00:03:18] ,ability_1_used,85.44,1팀,SP1NT,트레이서,0
[00:03:18] ,ability_1_used,85.93,2팀,HeeSang,트레이서,0
[00:03:19] ,ability_1_used,86.40,2팀,CH0R0NG,미즈키,0
[00:03:19] ,ability_2_used,87.10,2팀,CH0R0NG,미즈키,0
[00:03:20] ,ability_1_used,88.17,1팀,SP1NT,트레이서,0
[00:03:21] ,ability_1_used,88.49,1팀,Fielder,키리코,0
[00:03:21] ,ability_1_used,88.86,1팀,MER1T,프레야,0
[00:03:22] ,****,89.21,2팀,CH0R0NG,미즈키,1팀,ChiYo,브리기테,Melee,35.93,0,0
[00:03:22] ,defensive_assist,89.34,2팀,vigilante,키리코,0
[00:03:22] ,ability_1_used,89.71,1팀,Someone,라마트라,0
[00:03:22] ,ability_1_used,89.79,2팀,MAX,시그마,0
[00:03:23] ,ability_1_used,90.44,1팀,SP1NT,트레이서,0
[00:03:23] ,ability_1_used,90.72,2팀,vigilante,키리코,0
[00:03:23] ,ability_1_used,90.92,2팀,HeeSang,트레이서,0
[00:03:23] ,****,91.04,2팀,STALK3R,프레야,1팀,SP1NT,트레이서,Primary Fire,10.75,0,0
[00:03:24] ,ultimate_start,91.20,1팀,MER1T,프레야,0,1
[00:03:24] ,defensive_assist,91.21,2팀,vigilante,키리코,0
[00:03:24] ,ability_1_used,91.82,2팀,HeeSang,트레이서,0
[00:03:24] ,ultimate_end,91.84,1팀,MER1T,프레야,0,1
[00:03:25] ,ability_2_used,92.41,2팀,MAX,시그마,0
[00:03:25] ,ability_2_used,92.43,2팀,vigilante,키리코,0
[00:03:25] ,ability_2_used,92.49,2팀,STALK3R,프레야,0
[00:03:26] ,ability_1_used,93.26,1팀,MER1T,프레야,0
[00:03:26] ,ability_2_used,93.37,1팀,Someone,라마트라,0
[00:03:26] ,ability_1_used,93.77,2팀,STALK3R,프레야,0
[00:03:26] ,ultimate_charged,93.98,2팀,STALK3R,프레야,0,1
[00:03:26] ,ability_2_used,94.17,2팀,HeeSang,트레이서,0
[00:03:27] ,ability_1_used,94.24,2팀,STALK3R,프레야,0
[00:03:27] ,****,94.94,1팀,Fielder,키리코,2팀,vigilante,키리코,0,40.08,True,0
[00:03:27] ,offensive_assist,94.94,1팀,Someone,라마트라,0
[00:03:28] ,****,95.26,2팀,STALK3R,프레야,1팀,MER1T,프레야,0,40,0,0
[00:03:28] ,ultimate_charged,95.31,1팀,Fielder,키리코,0,1
[00:03:29] ,ability_1_used,96.80,2팀,HeeSang,트레이서,0
[00:03:30] ,ability_1_used,97.93,2팀,CH0R0NG,미즈키,0
[00:03:32] ,point_progress,99.66,1,2팀,2,33.39
[00:03:32] ,ability_2_used,99.77,1팀,Fielder,키리코,0
[00:03:32] ,****,99.88,2팀,CH0R0NG,미즈키,1팀,Someone,라마트라,Primary Fire,6.27,0,0
[00:03:32] ,defensive_assist,100.16,2팀,vigilante,키리코,0
[00:03:33] ,defensive_assist,100.20,2팀,CH0R0NG,미즈키,0
[00:03:33] ,ability_1_used,100.67,2팀,HeeSang,트레이서,0
[00:03:33] ,ability_2_used,100.81,2팀,CH0R0NG,미즈키,0
[00:03:33] ,****,101.02,2팀,MAX,시그마,1팀,Fielder,키리코,Melee,10.45,0,0
[00:03:35] ,point_progress,102.33,1,2팀,2,66.79
[00:03:35] ,ability_1_used,102.60,2팀,HeeSang,트레이서,0
[00:03:35] ,ability_1_used,102.78,2팀,HeeSang,트레이서,0
[00:03:37] ,point_progress,104.25,1,2팀,2,99.99
[00:03:37] ,objective_captured,104.27,1,2팀,2,49.87,0.01,0
[00:03:41] ,ability_1_used,108.27,1팀,Fielder,키리코,0
[00:03:44] ,ability_1_used,111.39,1팀,MER1T,프레야,0
[00:03:44] ,ability_1_used,111.74,2팀,STALK3R,프레야,0
[00:03:44] ,ability_1_used,112.04,2팀,CH0R0NG,미즈키,0
[00:03:46] ,ability_2_used,113.79,1팀,MER1T,프레야,0
[00:03:47] ,ability_1_used,114.95,2팀,STALK3R,프레야,0
[00:03:47] ,ability_1_used,115.05,1팀,MER1T,프레야,0
[00:03:48] ,ability_1_used,115.96,1팀,SP1NT,트레이서,0
[00:03:48] ,ability_2_used,116.15,2팀,STALK3R,프레야,0
[00:03:50] ,ability_1_used,117.27,2팀,STALK3R,프레야,0
[00:03:50] ,ability_1_used,117.69,2팀,HeeSang,트레이서,0
[00:03:50] ,ability_1_used,117.88,1팀,MER1T,프레야,0
[00:03:51] ,ability_2_used,118.27,2팀,MAX,시그마,0
[00:03:51] ,ability_1_used,118.31,1팀,SP1NT,트레이서,0
[00:03:51] ,ability_1_used,118.60,2팀,HeeSang,트레이서,0
[00:03:52] ,ultimate_charged,119.19,1팀,SP1NT,트레이서,0,1
[00:03:52] ,ability_2_used,119.82,1팀,ChiYo,브리기테,0
[00:03:53] ,ability_1_used,120.67,1팀,SP1NT,트레이서,0
[00:03:53] ,ability_1_used,121.05,2팀,HeeSang,트레이서,0
[00:03:53] ,ability_1_used,121.15,2팀,STALK3R,프레야,0
[00:03:54] ,ability_1_used,121.55,1팀,SP1NT,트레이서,0
[00:03:55] ,ability_1_used,122.79,2팀,HeeSang,트레이서,0
[00:03:57] ,ability_1_used,124.20,1팀,SP1NT,트레이서,0
[00:03:57] ,ability_1_used,125.10,1팀,SP1NT,트레이서,0
[00:03:58] ,ability_2_used,125.91,1팀,ChiYo,브리기테,0
[00:03:59] ,ability_1_used,126.70,2팀,STALK3R,프레야,0
[00:04:00] ,ability_1_used,127.63,1팀,MER1T,프레야,0
[00:04:01] ,ability_1_used,128.27,1팀,SP1NT,트레이서,0
[00:04:01] ,ability_1_used,128.60,2팀,CH0R0NG,미즈키,0
[00:04:01] ,ability_1_used,128.91,2팀,HeeSang,트레이서,0
[00:04:02] ,ability_2_used,129.29,2팀,CH0R0NG,미즈키,0
[00:04:02] ,ultimate_charged,129.59,2팀,CH0R0NG,미즈키,0,1
[00:04:02] ,ability_2_used,129.64,1팀,ChiYo,브리기테,0
[00:04:02] ,ability_1_used,129.88,1팀,MER1T,프레야,0
[00:04:03] ,ability_2_used,130.23,2팀,MAX,시그마,0
[00:04:03] ,ability_1_used,130.30,1팀,Someone,라마트라,0
[00:04:03] ,ability_2_used,130.60,1팀,Fielder,키리코,0
[00:04:03] ,ability_2_used,131.05,2팀,STALK3R,프레야,0
[00:04:04] ,ability_1_used,131.24,2팀,HeeSang,트레이서,0
[00:04:04] ,ultimate_charged,131.48,2팀,vigilante,키리코,0,1
[00:04:05] ,ability_1_used,132.19,2팀,STALK3R,프레야,0
[00:04:05] ,ability_2_used,132.41,2팀,HeeSang,트레이서,0
