[00:02:38] ,ultimate_end,114.52,2팀,ChiYo,미즈키,0,1
[00:02:39] ,****,115.71,2팀,Fielder,키리코,1팀,UltraViolet,키리코,0,35.83,True,0
[00:02:39] ,defensive_assist,116.14,2팀,ChiYo,미즈키,0
[00:02:40] ,ability_1_used,116.49,1팀,sugarfree,트레이서,0
[00:02:40] ,ability_1_used,117.03,2팀,Fielder,키리코,0
[00:02:41] ,ultimate_end,117.19,1팀,Lethal,소전,0,1
[00:02:41] ,****,117.51,1팀,Admiral,브리기테,2팀,CheckMate,시메트라,Primary Fire,40.15,0,0
[00:02:41] ,defensive_assist,117.59,1팀,Admiral,브리기테,0
[00:02:41] ,ability_2_used,118.14,1팀,Admiral,브리기테,0
[00:02:42] ,ability_1_used,118.60,1팀,sugarfree,트레이서,0
[00:02:43] ,ability_1_used,119.47,1팀,Lethal,소전,0
[00:02:43] ,ability_2_used,119.58,2팀,Someone,시그마,0
[00:02:43] ,ability_1_used,119.91,1팀,Admiral,브리기테,0
[00:02:44] ,ultimate_end,120.35,1팀,UltraViolet,키리코,0,1
[00:02:44] ,ability_2_used,120.91,1팀,Lethal,소전,0
[00:02:44] ,ability_1_used,120.94,2팀,MER1T,소전,0
[00:02:44] ,ability_1_used,121.02,2팀,ChiYo,미즈키,0
[00:02:45] ,****,121.43,2팀,Someone,시그마,1팀,Admiral,브리기테,Primary Fire,7.96,0,0
[00:02:45] ,defensive_assist,121.74,2팀,ChiYo,미즈키,0
[00:02:46] ,ability_2_used,122.43,2팀,ChiYo,미즈키,0
[00:02:46] ,ability_1_used,122.78,1팀,sugarfree,트레이서,0
[00:02:47] ,ability_1_used,123.34,1팀,sugarfree,트레이서,0
[00:02:47] ,****,123.45,2팀,Someone,시그마,1팀,Lethal,소전,Melee,8.92,0,0
[00:02:47] ,defensive_assist,123.66,2팀,Fielder,키리코,0
[00:02:48] ,ability_1_used,124.67,1팀,Hawk,라마트라,0
[00:02:49] ,ability_1_used,125.66,1팀,sugarfree,트레이서,0
[00:02:49] ,ability_1_used,125.83,2팀,Fielder,키리코,0
[00:02:50] ,****,126.28,1팀,sugarfree,트레이서,2팀,MER1T,소전,Primary Fire,3.34,0,0
[00:02:50] ,ability_2_used,126.60,1팀,sugarfree,트레이서,0
[00:02:52] ,ability_1_used,128.51,1팀,sugarfree,트레이서,0
[00:02:53] ,****,129.53,2팀,Fielder,키리코,1팀,sugarfree,트레이서,0,50.15,True,0
[00:02:56] ,ability_2_used,132.44,2팀,CheckMate,시메트라,0
[00:02:58] ,ability_1_used,134.51,1팀,Lethal,소전,0
[00:03:01] ,ability_1_used,137.23,2팀,Fielder,키리코,0
[00:03:01] ,ability_1_used,137.32,2팀,MER1T,소전,0
[00:03:02] ,ultimate_charged,139.12,2팀,MER1T,소전,0,1
[00:03:03] ,ability_1_used,140.09,1팀,sugarfree,트레이서,0
[00:03:04] ,ability_1_used,140.27,1팀,sugarfree,트레이서,0
[00:03:05] ,ability_1_used,142.11,2팀,CheckMate,시메트라,0
[00:03:07] ,ability_1_used,143.76,1팀,sugarfree,트레이서,0
[00:03:07] ,ability_1_used,144.11,2팀,CheckMate,시메트라,0
[00:03:08] ,payload_progress,144.22,1,2팀,1,60.02
[00:03:08] ,ability_1_used,145.06,2팀,CheckMate,시메트라,0
[00:03:09] ,ability_1_used,145.33,2팀,MER1T,소전,0
[00:03:09] ,ability_1_used,145.66,1팀,sugarfree,트레이서,0
[00:03:10] ,ability_2_used,146.30,1팀,Hawk,라마트라,0
[00:03:10] ,ability_2_used,146.94,2팀,Someone,시그마,0
[00:03:13] ,objective_updated,149.20,1,1,2
[00:03:13] ,objective_captured,149.20,1,2팀,2,0,0,330.79
[00:03:13] ,ability_1_used,149.78,1팀,sugarfree,트레이서,0
[00:03:14] ,ability_1_used,150.45,1팀,Lethal,소전,0
[00:03:15] ,ability_1_used,151.19,2팀,Fielder,키리코,0
[00:03:15] ,ability_2_used,151.71,2팀,MER1T,소전,0
[00:03:18] ,ability_2_used,154.88,1팀,Admiral,브리기테,0
[00:03:19] ,ability_1_used,155.32,1팀,sugarfree,트레이서,0
[00:03:19] ,ability_2_used,155.78,1팀,Lethal,소전,0
[00:03:19] ,ability_2_used,155.81,1팀,Admiral,브리기테,0
[00:03:19] ,ability_1_used,155.91,1팀,sugarfree,트레이서,0
[00:03:20] ,ability_2_used,156.50,1팀,sugarfree,트레이서,0
[00:03:20] ,ability_1_used,156.60,1팀,Admiral,브리기테,0
[00:03:20] ,ability_1_used,156.88,2팀,ChiYo,미즈키,0
[00:03:21] ,ability_1_used,157.69,1팀,sugarfree,트레이서,0
[00:03:21] ,ultimate_charged,157.94,2팀,Fielder,키리코,0,1
[00:03:21] ,****,157.97,2팀,Someone,시그마,1팀,UltraViolet,키리코,Primary Fire,45,0,0
[00:03:21] ,ability_2_used,157.99,2팀,ChiYo,미즈키,0
[00:03:22] ,ability_2_used,158.23,2팀,Fielder,키리코,0
[00:03:22] ,ability_2_used,158.34,1팀,Hawk,라마트라,0
[00:03:22] ,****,158.36,1팀,Admiral,브리기테,2팀,Fielder,키리코,Primary Fire,35.50,0,0
[00:03:22] ,defensive_assist,158.39,2팀,ChiYo,미즈키,0
[00:03:22] ,defensive_assist,158.49,1팀,UltraViolet,키리코,0
[00:03:22] ,defensive_assist,158.53,1팀,Admiral,브리기테,0
[00:03:22] ,ability_2_used,159.09,1팀,Admiral,브리기테,0
[00:03:23] ,ability_1_used,159.24,1팀,Hawk,라마트라,0
[00:03:23] ,ability_2_used,159.27,2팀,CheckMate,시메트라,0
[00:03:26] ,ability_1_used,162.23,1팀,sugarfree,트레이서,0
[00:03:26] ,ability_1_used,163.13,2팀,MER1T,소전,0
[00:03:27] ,ultimate_charged,164.02,2팀,CheckMate,시메트라,0,1
