[00:02:39] ,ability_1_used,40.19,2팀,SP1NT,트레이서,0
[00:02:39] ,ability_2_used,40.24,1팀,kellex,루시우,0
[00:02:40] ,ability_1_used,41.23,1팀,FiNN,키리코,0
[00:02:40] ,ability_1_used,41.28,1팀,kellex,루시우,0
[00:02:40] ,ability_1_used,41.30,2팀,MER1T,소전,0
[00:02:41] ,ability_1_used,42.85,1팀,AlphaYi,벤데타,0
[00:02:42] ,****,43.33,2팀,MER1T,소전,1팀,FiNN,키리코,Secondary Fire,113.98,True,0
[00:02:42] ,defensive_assist,43.38,2팀,ChiYo,브리기테,0
[00:02:42] ,ability_1_used,43.50,2팀,SP1NT,트레이서,0
[00:02:42] ,ability_1_used,43.84,1팀,LBBD7,소전,0
[00:02:43] ,ability_2_used,43.98,2팀,ChiYo,브리기테,0
[00:02:43] ,ability_1_used,44.29,1팀,Risk,마우가,0
[00:02:43] ,ability_1_used,44.45,2팀,SP1NT,트레이서,0
[00:02:43] ,ability_1_used,44.74,2팀,ChiYo,브리기테,0
[00:02:44] ,****,44.93,2팀,SP1NT,트레이서,1팀,Risk,마우가,Primary Fire,1.82,0,0
[00:02:44] ,offensive_assist,45.26,2팀,ChiYo,브리기테,0
[00:02:44] ,defensive_assist,45.26,2팀,ChiYo,브리기테,0
[00:02:45] ,ability_2_used,46.74,2팀,ChiYo,브리기테,0
[00:02:47] ,ability_1_used,48.70,2팀,MER1T,소전,0
[00:02:48] ,ability_1_used,49.82,2팀,Fielder,키리코,0
[00:02:50] ,ability_1_used,51.39,2팀,SP1NT,트레이서,0
[00:02:52] ,ability_2_used,53.28,2팀,ChiYo,브리기테,0
[00:02:55] ,ability_1_used,56.09,1팀,Risk,마우가,0
[00:02:55] ,ability_1_used,56.24,2팀,SP1NT,트레이서,0
[00:02:57] ,ability_1_used,58.25,1팀,LBBD7,소전,0
[00:02:58] ,ability_2_used,59.63,2팀,MER1T,소전,0
[00:02:58] ,ability_2_used,59.71,2팀,ChiYo,브리기테,0
[00:02:58] ,ability_1_used,59.84,2팀,SP1NT,트레이서,0
[00:03:00] ,ability_1_used,61.01,2팀,SP1NT,트레이서,0
[00:03:02] ,ability_1_used,63.82,1팀,kellex,루시우,0
[00:03:03] ,ability_1_used,64.25,2팀,SP1NT,트레이서,0
[00:03:04] ,ability_2_used,65.36,2팀,ChiYo,브리기테,0
[00:03:08] ,ability_1_used,69.45,2팀,SP1NT,트레이서,0
[00:03:09] ,ability_1_used,69.97,2팀,ChiYo,브리기테,0
[00:03:09] ,ability_1_used,70.70,1팀,kellex,루시우,0
[00:03:11] ,ability_1_used,72.72,2팀,SP1NT,트레이서,0
[00:03:11] ,ability_1_used,72.86,1팀,kellex,루시우,0
[00:03:13] ,ability_1_used,74.49,1팀,Risk,마우가,0
