[00:03:51] ,player_stat,181.66,2,2팀,Viol2t,루시우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11
[00:03:51] ,player_stat,181.66,2,2팀,Viol2t,키리코,4,1,2,1973.83,0,1973.83,3608.64,983.23,0,1433.23,0,4,3,1,2,0,0,0,0,0,0,6,0.19,0,0,0,132,32,92,0,0,0.26,176.77
[00:03:51] ,player_stat,181.66,2,2팀,Proper,시메트라,0,0,3,1560.65,103.84,1456.81,0,343.84,0,1233.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,7,52,0,0,0.12,181.66
[00:03:51] ,player_stat,181.66,2,1팀,ChiYo,미즈키,4,2,2,3389.22,91.20,1320.00,2431.75,745.78,0,1428.52,0,9,0,1,1,0,0,0,1,0,0,1,0.03,0,0,0,91,33,33,0,0,0.50,181.66
[00:03:51] ,objective_captured,181.66,2,All Teams,1,0,0,39.98
[00:04:03] ,****,193.17,2팀,Viol2t,키리코,1팀,MER1T,캐서디,0,39.62,0,0
[00:04:03] ,offensive_assist,193.19,2팀,Mealgaru,마우가,0
[00:04:10] ,hero_swap,200.71,1팀,Fielder,아나,주노,19.05
[00:04:16] ,hero_swap,205.83,1팀,Fielder,주노,아나,5.12
[00:04:17] ,hero_swap,207.40,1팀,Fielder,키리코,주노,1.57
[00:04:33] ,point_progress,223.02,2,2팀,1,33.58
[00:04:34] ,point_progress,224.35,2,2팀,1,66.78
[00:04:35] ,point_progress,225.68,2,2팀,1,99.98
[00:04:35] ,objective_captured,225.70,2,2팀,1,0,0.02,0
[00:04:41] ,ultimate_start,231.60,1팀,MER1T,캐서디,0,1
[00:04:43] ,ultimate_start,232.80,2팀,knife,캐서디,0,1
[00:04:43] ,ultimate_charged,233.73,2팀,Viol2t,키리코,0,2
[00:04:47] ,ultimate_end,237.59,1팀,MER1T,캐서디,0,1
[00:04:49] ,****,239.21,1팀,SP1NT,안란,2팀,Mealgaru,마우가,Secondary Fire,0.96,0,0
[00:04:49] ,defensive_assist,239.35,1팀,ChiYo,미즈키,0
[00:04:49] ,offensive_assist,239.41,1팀,Fielder,키리코,0
[00:04:49] ,defensive_assist,239.41,1팀,Fielder,키리코,0
[00:04:50] ,ultimate_end,240.01,2팀,knife,캐서디,0,1
[00:04:58] ,ultimate_start,248.01,2팀,Viol2t,키리코,0,2
[00:04:59] ,****,249.74,1팀,MER1T,캐서디,2팀,Viol2t,키리코,Primary Fire,60.48,0,0
[00:04:59] ,defensive_assist,249.75,1팀,Fielder,키리코,0
[00:05:01] ,point_progress,251.26,2,2팀,1,33.38
[00:05:01] ,ultimate_charged,251.37,1팀,SP1NT,안란,0,2
[00:05:02] ,point_progress,252.60,2,2팀,1,66.98
[00:05:04] ,****,253.98,1팀,MER1T,캐서디,2팀,knife,캐서디,Primary Fire,57.33,0,0
[00:05:04] ,defensive_assist,254.36,1팀,ChiYo,미즈키,0
[00:05:04] ,offensive_assist,254.38,1팀,HanBin,마우가,0
[00:05:04] ,defensive_assist,254.38,1팀,HanBin,마우가,0
